Label,External URI
"Pickering and Chatto",http://viaf.org/viaf/124959469
"Poetry Bookshop",http://viaf.org/viaf/123865415
"Princeton University Press",http://viaf.org/viaf/158317684
"R. Bentley and Son",http://viaf.org/viaf/126230561
"R. Bentley",http://viaf.org/viaf/126230561
"R. Hale",http://viaf.org/viaf/125513648
"R. and J. Dodsley",http://viaf.org/viaf/121291910
"Random House",http://viaf.org/viaf/153153594
"Remington",http://viaf.org/viaf/155134447
"Richard Bentley and Son",http://viaf.org/viaf/126230561
"Richard Bentley",http://viaf.org/viaf/126230561
"Richard Phillips",http://viaf.org/viaf/130566866
"Robert Hale",http://viaf.org/viaf/125513648
"Roberts Brothers",http://viaf.org/viaf/153421486
"Routledge and Kegan Paul",http://viaf.org/viaf/312803894
"Routledge",http://viaf.org/viaf/146326081
"Routledge, Warne, and Routledge",http://viaf.org/viaf/146326081
"Rupert Hart-Davis",http://viaf.org/viaf/313090149
"Rutgers University Press",http://viaf.org/viaf/126856852
"S. French",http://viaf.org/viaf/168198318
"Sampson Low",http://viaf.org/viaf/121292786
"Samuel French",http://viaf.org/viaf/168198318
"Saunders and Otley",http://viaf.org/viaf/15754285
"Scarecrow Press",http://viaf.org/viaf/261535565
"Scholars' Facsimiles and Reprints",http://viaf.org/viaf/315242234
"Scolar Press",http://viaf.org/viaf/126764779
"Secker and Warburg",http://viaf.org/viaf/127926910
"Seeley, Jackson, and Halliday",http://viaf.org/viaf/148844867
"Seren",http://viaf.org/viaf/3395151837987320520003
"Sidgwick and Jackson",http://viaf.org/viaf/138432217
"Simon and Schuster",http://viaf.org/viaf/149958803
"Sinclair-Stevenson",http://viaf.org/viaf/565154380888630290180
"Smith, Elder & Co.",http://viaf.org/viaf/147851790
"Smith, Elder",http://viaf.org/viaf/147851790
"Society for Promoting Christian Knowledge",http://viaf.org/viaf/130132158
"Southern Illinois University Press",http://viaf.org/viaf/153672966
"St Martin's Press",http://viaf.org/viaf/134878895
"Stanford University Press",http://viaf.org/viaf/145613647
"State University of New York Press",http://viaf.org/viaf/311354004
"Strahan",http://viaf.org/viaf/132977294
"Sutton",http://viaf.org/viaf/160882254
"T. C. Newby",http://viaf.org/viaf/34325653
"T. Cadell",http://viaf.org/viaf/100920895
"T. F. Unwin",http://viaf.org/viaf/121287478
"T. Fisher Unwin",http://viaf.org/viaf/121287478
"T. Hookham",http://viaf.org/viaf/304943288
"T. N. Longman and O. Rees",http://viaf.org/viaf/130626936
"T. N. Longman",http://viaf.org/viaf/149560951
"T. Nelson and Sons",http://viaf.org/viaf/126093235
"T. Nelson",http://viaf.org/viaf/126093235
"Taylor and Hessey",http://viaf.org/viaf/121292520
"Thames and Hudson",http://viaf.org/viaf/129092275
"The Bodley Head",http://viaf.org/viaf/145370293
"Theosophical Publishing House",http://viaf.org/viaf/127127261
"Tinsley Brothers",http://viaf.org/viaf/125903678
"Tinsley",http://viaf.org/viaf/125903678
"Trübner",http://viaf.org/viaf/141909012
"Twayne Publishers",http://viaf.org/viaf/146726169
"Twayne",http://viaf.org/viaf/146726169
"University Press of Kentucky",http://viaf.org/viaf/127846763
"University Press of Virginia",http://viaf.org/viaf/297377613
"University of Alberta",http://viaf.org/viaf/155492116
"University of California Press",http://viaf.org/viaf/148948307
"University of Chicago Press",http://viaf.org/viaf/122888939
"University of Delaware Press",http://viaf.org/viaf/311354383
"University of Georgia Press",http://viaf.org/viaf/158327693
"University of Illinois Press",http://viaf.org/viaf/157245161
"University of Michigan Press",http://viaf.org/viaf/131373685
"University of North Carolina Press",http://viaf.org/viaf/265412814
"University of Pennsylvania Press",http://viaf.org/viaf/159571939
"University of Toronto Press",http://viaf.org/viaf/126595939
"University of Wisconsin Press",http://viaf.org/viaf/142839588
"Viking Penguin",http://viaf.org/viaf/134443168
"Viking Press",http://viaf.org/viaf/295681810
"Viking",http://viaf.org/viaf/295681810
"Vintage Books",http://viaf.org/viaf/306402845
"Vintage Canada",http://viaf.org/viaf/306402845
"Vintage",http://viaf.org/viaf/306402845
"Virago",http://viaf.org/viaf/170596537
"W. Blackwood and Sons",http://viaf.org/viaf/148038877
"W. Blackwood",http://viaf.org/viaf/148038877
"W. Collins",http://viaf.org/viaf/144898842
"W. H. Allen",http://viaf.org/viaf/45159035185601380002
"W. Heinemann",http://viaf.org/viaf/129924961
"W. Pickering",http://viaf.org/viaf/39150030775610962228
