ORLANDO TERM,Possible URI,Possible URI #2
novelistic genre,http://sparql.cwrc.ca/ontologies/genre#NovelisticGenre,
novella,http://sparql.cwrc.ca/ontologies/genre#novella,
nursery rhyme,http://sparql.cwrc.ca/ontologies/genre#nurseryRhyme,
nurseryrhyme,http://sparql.cwrc.ca/ontologies/genre#nurseryRhyme,
obituary,http://sparql.cwrc.ca/ontologies/genre#obituary,
occasional poetry,http://sparql.cwrc.ca/ontologies/genre#occasionalPoetry,
occasionalpoetry,http://sparql.cwrc.ca/ontologies/genre#occasionalPoetry,
ode,http://sparql.cwrc.ca/ontologies/genre#ode,
offprint,http://sparql.cwrc.ca/ontologies/genre#offprint,
one-act-play,http://sparql.cwrc.ca/ontologies/genre#oneActPlay,
oneactplay,http://sparql.cwrc.ca/ontologies/genre#oneActPlay,
opera,http://sparql.cwrc.ca/ontologies/genre#opera,
opera genre,http://sparql.cwrc.ca/ontologies/genre#OperaGenre,
oral history,http://sparql.cwrc.ca/ontologies/genre#oralHistory,
oratorio,http://sparql.cwrc.ca/ontologies/genre#oratorio,
organizational history,http://sparql.cwrc.ca/ontologies/genre#history,
oriental,http://sparql.cwrc.ca/ontologies/genre#orientalist,
orientalist,http://sparql.cwrc.ca/ontologies/genre#orientalist,
pageant,http://sparql.cwrc.ca/ontologies/genre#pageant,
painting,http://sparql.cwrc.ca/ontologies/genre#painting,
pamphlet,http://sparql.cwrc.ca/ontologies/genre#pamphlet,
panegyric,http://sparql.cwrc.ca/ontologies/genre#panegyric,
pantomime,http://sparql.cwrc.ca/ontologies/genre#pantomime,
parable,http://sparql.cwrc.ca/ontologies/genre#parable,
paranormal,http://sparql.cwrc.ca/ontologies/genre#paranormal,
paratext,http://sparql.cwrc.ca/ontologies/genre#paratext,
paratexts,http://sparql.cwrc.ca/ontologies/genre#paratext,
parliamentaryreport,http://sparql.cwrc.ca/ontologies/genre#governmentReport,
parody,http://sparql.cwrc.ca/ontologies/genre#parody,
part/excerpt,http://sparql.cwrc.ca/ontologies/genre#partExcerpt,
passion play,http://sparql.cwrc.ca/ontologies/genre#passionPlay,
pastoral,http://sparql.cwrc.ca/ontologies/genre#pastoral,
pedagogical genre,http://sparql.cwrc.ca/ontologies/genre#PedagogicalGenre,
pedagogy,http://sparql.cwrc.ca/ontologies/genre#pedagogy,
performance,http://sparql.cwrc.ca/ontologies/genre#performance,
performance medium,http://sparql.cwrc.ca/ontologies/genre#PerformanceMedium,
performance poetry,http://sparql.cwrc.ca/ontologies/genre#performancePoetry,
performancepoetry,http://sparql.cwrc.ca/ontologies/genre#performancePoetry,
periodical,http://sparql.cwrc.ca/ontologies/genre#SerialForm,
periodical feature,http://sparql.cwrc.ca/ontologies/genre#periodicalFeature,
petition,http://sparql.cwrc.ca/ontologies/genre#petition,
phd thesis,http://sparql.cwrc.ca/ontologies/genre#phdThesis,
philosophical,http://sparql.cwrc.ca/ontologies/genre#philosophical,
philosophical genre,http://sparql.cwrc.ca/ontologies/genre#PhilosophicalGenre,
philosophy,http://sparql.cwrc.ca/ontologies/genre#philosophy,
photo essay,http://sparql.cwrc.ca/ontologies/genre#photoEssay,
photo opy,http://sparql.cwrc.ca/ontologies/genre#photocopy,
photograph,http://sparql.cwrc.ca/ontologies/genre#photograph,
physical theatre,http://sparql.cwrc.ca/ontologies/genre#physicalTheatre,
picaresque,http://sparql.cwrc.ca/ontologies/genre#picaresque,
